JournalTitle,Discipline,List,Edition,Rank
思想政治教育研究,马克思主义理论,CSSCI Extended,2025-2026,172
苏区研究,马克思主义理论,CSSCI Extended,2025-2026,173
苏州大学学报(法学版),法学,CSSCI Extended,2025-2026,174
台湾研究集刊,政治学,CSSCI Extended,2025-2026,175
体育文化导刊,体育学,CSSCI Extended,2025-2026,176
天津师范大学学报(基础教育版),教育学,CSSCI Extended,2025-2026,177
天津师范大学学报(社会科学版),高校学报,CSSCI Extended,2025-2026,178
天津行政学院学报,政治学,CSSCI Extended,2025-2026,179
投资研究,经济学,CSSCI Extended,2025-2026,180
图书馆工作与研究,信息资源管理,CSSCI Extended,2025-2026,181
图书馆理论与实践,信息资源管理,CSSCI Extended,2025-2026,182
外国教育研究,教育学,CSSCI Extended,2025-2026,183
外国问题研究,历史学,CSSCI Extended,2025-2026,184
外语学刊,语言学,CSSCI Extended,2025-2026,185
外语研究,语言学,CSSCI Extended,2025-2026,186
未来传播,新闻学与传播学,CSSCI Extended,2025-2026,187
文化艺术研究,艺术学,CSSCI Extended,2025-2026,188
文学与文化,中国文学,CSSCI Extended,2025-2026,189
文艺论坛,中国文学,CSSCI Extended,2025-2026,190
五台山研究,宗教学,CSSCI Extended,2025-2026,191
武大国际法评论,法学,CSSCI Extended,2025-2026,192
西安外国语大学学报,语言学,CSSCI Extended,2025-2026,193
西北工业大学学报(社会科学版),高校学报,CSSCI Extended,2025-2026,194
西北民族大学学报(哲学社会科学版藏文),民族学与文化学,CSSCI Extended,2025-2026,195
西北民族大学学报(哲学社会科学版),民族学与文化学,CSSCI Extended,2025-2026,196
西北人口,社会学,CSSCI Extended,2025-2026,197
西部论坛,经济学,CSSCI Extended,2025-2026,198
西南金融,经济学,CSSCI Extended,2025-2026,199
西藏民族大学学报(哲学社会科学版),民族学与文化学,CSSCI Extended,2025-2026,200
西藏研究,民族学与文化学,CSSCI Extended,2025-2026,201
习近平经济思想研究,马克思主义理论,CSSCI Extended,2025-2026,202
系统工程,管理学,CSSCI Extended,2025-2026,203
系统科学学报,哲学,CSSCI Extended,2025-2026,204
现代城市研究,人文经济地理,CSSCI Extended,2025-2026,205
现代日本经济,经济学,CSSCI Extended,2025-2026,206
消费经济,经济学,CSSCI Extended,2025-2026,207
心理学探新,心理学,CSSCI Extended,2025-2026,208
心理研究,心理学,CSSCI Extended,2025-2026,209
新疆大学学报(哲学社会科学版),高校学报,CSSCI Extended,2025-2026,210
新世纪图书馆,信息资源管理,CSSCI Extended,2025-2026,211
新视野,政治学,CSSCI Extended,2025-2026,212
新文科教育研究,教育学,CSSCI Extended,2025-2026,213
新闻爱好者,新闻学与传播学,CSSCI Extended,2025-2026,214
新闻传播学刊,新闻学与传播学,CSSCI Extended,2025-2026,215
新闻春秋,新闻学与传播学,CSSCI Extended,2025-2026,216
学术交流,综合性社会科学,CSSCI Extended,2025-2026,217
学术探索,综合性社会科学,CSSCI Extended,2025-2026,218
学校党建与思想教育,马克思主义理论,CSSCI Extended,2025-2026,219
盐业史研究,历史学,CSSCI Extended,2025-2026,220
扬州大学学报(人文社会科学版),高校学报,CSSCI Extended,2025-2026,221
艺术百家,艺术学,CSSCI Extended,2025-2026,222
艺术评论,艺术学,CSSCI Extended,2025-2026,223
艺术学研究,艺术学,CSSCI Extended,2025-2026,224
印度洋经济体研究,政治学,CSSCI Extended,2025-2026,225
语言学论丛,语言学,CSSCI Extended,2025-2026,226
语言与翻译,语言学,CSSCI Extended,2025-2026,227
原生态民族文化学刊,民族学与文化学,CSSCI Extended,2025-2026,228
云南财经大学学报,经济学,CSSCI Extended,2025-2026,229
云南大学学报(社会科学版),高校学报,CSSCI Extended,2025-2026,230
云南师范大学学报(对外汉语教学与研究版),教育学,CSSCI Extended,2025-2026,231
战略决策研究,政治学,CSSCI Extended,2025-2026,232
长江学术,中国文学,CSSCI Extended,2025-2026,233
政治经济学季刊,经济学,CSSCI Extended,2025-2026,234
政治经济学研究,经济学,CSSCI Extended,2025-2026,235
政治思想史,政治学,CSSCI Extended,2025-2026,236
智库理论与实践,管理学,CSSCI Extended,2025-2026,237
中国博物馆,考古学,CSSCI Extended,2025-2026,238
中国地方志,历史学,CSSCI Extended,2025-2026,239
中国典籍与文化,历史学,CSSCI Extended,2025-2026,240
中国俄语教学,语言学,CSSCI Extended,2025-2026,241
中国非物质文化遗产,中华传统文化,CSSCI Extended,2025-2026,242
中国国家博物馆馆刊,考古学,CSSCI Extended,2025-2026,243
中国教育科学(中英文),教育学,CSSCI Extended,2025-2026,244
中国考试,教育学,CSSCI Extended,2025-2026,245
中国科学基金,管理学,CSSCI Extended,2025-2026,246
中国穆斯林,宗教学,CSSCI Extended,2025-2026,247
中国农业资源与区划,自然资源与环境科学,CSSCI Extended,2025-2026,248
中国青年社会科学,社会学,CSSCI Extended,2025-2026,249
中国人民大学教育学刊,教育学,CSSCI Extended,2025-2026,250
中国图书评论,综合性社会科学,CSSCI Extended,2025-2026,251
中国网信,管理学,CSSCI Extended,2025-2026,252
中国文化研究,民族学与文化学,CSSCI Extended,2025-2026,253
中国心理卫生杂志,心理学,CSSCI Extended,2025-2026,254
中国政法大学学报,法学,CSSCI Extended,2025-2026,255
中国职业技术教育,教育学,CSSCI Extended,2025-2026,256
中国宗教,宗教学,CSSCI Extended,2025-2026,257
中华民族共同体研究,民族学与文化学,CSSCI Extended,2025-2026,258
中小学管理,教育学,CSSCI Extended,2025-2026,259
中央社会主义学院学报,马克思主义理论,CSSCI Extended,2025-2026,260
自然科学史研究,历史学,CSSCI Extended,2025-2026,261
