Source title,Source Type,ISSN,EISSN,Publisher,Country/Region,Language,Subject 1,Subject 2,Subject 3,Subject 4,Subject 5,Subject 6,Subject 7,Subject 8
ACM Transactions on Knowledge Discovery from Data,Journal,15564681,1556472X,Association for Computing Machinery,United States,ENGLISH,Computer Science (all),-,-,-,-,-,-,-
ACM Transactions on Management Information Systems,Journal,2158656X,21586578,Association for Computing Machinery,United States,ENGLISH,Management Information Systems,Computer Science (all),-,-,-,-,-,-
ACM Transactions on Mathematical Software,Journal,00983500,15577295,Association for Computing Machinery,United States,ENGLISH,Software,Applied Mathematics,-,-,-,-,-,-
ACM Transactions on Modeling and Computer Simulation,Journal,10493301,15581195,Association for Computing Machinery,United States,ENGLISH,Computer Science Applications,Modeling and Simulation,-,-,-,-,-,-
ACM Transactions on Modeling and Performance Evaluation of Computing Systems,Journal,23763639,23763647,Association for Computing Machinery,United States,ENGLISH,Computer Science (miscellaneous),Computer Networks and Communications,Hardware and Architecture,Information Systems,Software,"Safety, Risk, Reliability and Quality",Media Technology,-
"ACM Transactions on Multimedia Computing, Communications and Applications",Journal,15516857,15516865,Association for Computing Machinery,United States,ENGLISH,Computer Networks and Communications,Hardware and Architecture,-,-,-,-,-,-
ACM Transactions on Parallel Computing,Journal,23294949,23294957,Association for Computing Machinery,United States,ENGLISH,Computational Theory and Mathematics,Computer Science Applications,Hardware and Architecture,Software,Modeling and Simulation,-,-,-
ACM Transactions on Privacy and Security,Journal,24712566,24712574,Association for Computing Machinery,United States,ENGLISH,Computer Science (all),"Safety, Risk, Reliability and Quality",-,-,-,-,-,-
ACM Transactions on Programming Languages and Systems,Journal,01640925,15584593,Association for Computing Machinery,United States,ENGLISH,Software,-,-,-,-,-,-,-
ACM Transactions on Quantum Computing,Journal,-,26436817,Association for Computing Machinery,United States,ENGLISH,Computer Science (miscellaneous),Computational Theory and Mathematics,Theoretical Computer Science,Statistical and Nonlinear Physics,-,-,-,-
ACM Transactions on Reconfigurable Technology and Systems,Journal,19367406,19367414,Association for Computing Machinery,United States,ENGLISH,Computer Science (all),-,-,-,-,-,-,-
ACM Transactions on Sensor Networks,Journal,15504859,15504867,Association for Computing Machinery,United States,ENGLISH,Computer Networks and Communications,-,-,-,-,-,-,-
ACM Transactions on Social Computing,Journal,24697818,24697826,Association for Computing Machinery,United States,ENGLISH,Computer Networks and Communications,Information Systems,-,-,-,-,-,-
ACM Transactions on Software Engineering and Methodology,Journal,1049331X,15577392,Association for Computing Machinery,United States,ENGLISH,Software,-,-,-,-,-,-,-
ACM Transactions on Spatial Algorithms and Systems,Journal,23740353,23740361,Association for Computing Machinery,United States,ENGLISH,Computer Science Applications,Information Systems,Signal Processing,Discrete Mathematics and Combinatorics,Geometry and Topology,Modeling and Simulation,-,-
ACM Transactions on Storage,Journal,15533077,15533093,Association for Computing Machinery,United States,ENGLISH,Hardware and Architecture,-,-,-,-,-,-,-
ACM Transactions on the Web,Journal,15591131,1559114X,Association for Computing Machinery,United States,ENGLISH,Computer Networks and Communications,-,-,-,-,-,-,-
